CRVT,RoC,FP,OADX,OADY,OADR,OAP EFL,PUP EFL
-0.00292,-342.0,-171.0,29.1,-3.59e-05,29.13628243,-172.0,41.0
-0.00292,-342.0,-171.0,27.8,-1.08,27.82672157,-172.0,41.0
-0.00292,-342.0,-171.0,26.5,-2.16,26.56419662,-172.0,41.0
-0.00293,-342.0,-171.0,25.1,-3.24,25.3554974,-172.0,41.0
-0.00293,-341.0,-171.0,23.8,-4.32,24.20845291,-172.0,41.0
-0.00293,-341.0,-171.0,22.5,-5.4,23.13200817,-171.0,41.0
-0.00293,-341.0,-171.0,21.2,-6.48,22.13624439,-171.0,41.0
-0.00293,-341.0,-170.0,19.8,-7.56,21.23230407,-171.0,41.0
-0.00293,-341.0,-170.0,18.5,-8.64,20.43217978,-171.0,41.0
-0.00293,-341.0,-170.0,17.2,-9.72,19.74830957,-171.0,41.0
-0.00293,-341.0,-170.0,15.9,-10.8,19.19295711,-171.0,41.0
-0.00293,-341.0,-170.0,14.5,-11.9,18.77738188,-171.0,41.0
-0.00293,-341.0,-170.0,13.2,-13.0,18.51087413,-171.0,41.0
-0.00293,-341.0,-170.0,11.9,-14.0,18.39981187,-171.0,41.0
-0.00293,-341.0,-170.0,10.6,-15.1,18.44692554,-171.0,41.0
-0.00293,-341.0,-170.0,9.25,-16.2,18.65096585,-171.0,41.0
-0.00293,-341.0,-171.0,7.93,-17.3,19.00684883,-171.0,41.0
-0.00293,-341.0,-171.0,6.61,-18.4,19.50626826,-171.0,41.0
-0.00293,-341.0,-171.0,5.29,-19.4,20.13856606,-171.0,41.0
-0.00293,-342.0,-171.0,3.96,-20.5,20.8917227,-171.0,41.0
-0.00293,-342.0,-171.0,2.64,-21.6,21.75324754,-172.0,41.0
-0.00292,-342.0,-171.0,1.32,-22.7,22.71088871,-172.0,41.0
-0.00292,-342.0,-171.0,3.98e-06,-23.8,23.75311484,-172.0,41.0
-0.00292,-343.0,-171.0,-1.32,-24.8,24.86939964,-172.0,41.0
-0.00291,-343.0,-172.0,-2.64,-25.9,26.05034094,-173.0,41.0
-0.00291,-343.0,-172.0,-3.97,-27.0,27.28767118,-173.0,41.0
-0.00291,-344.0,-172.0,-5.29,-28.1,28.57420158,-173.0,41.0
-0.0029,-344.0,-172.0,-6.61,-29.2,29.90372332,-173.0,41.0
-0.0029,-345.0,-172.0,-7.93,-30.2,31.27090266,-174.0,41.0
-0.0029,-345.0,-173.0,-9.26,-31.3,32.67116364,-174.0,41.0
-0.00289,-346.0,-173.0,-10.6,-32.4,34.1005879,-175.0,41.0
-0.00289,-346.0,-173.0,-11.9,-33.5,35.5558194,-175.0,41.0
-0.00288,-347.0,-173.0,-13.2,-34.6,37.03397649,-175.0,41.0
-0.00288,-347.0,-174.0,-14.6,-35.7,38.53258589,-176.0,41.0
-0.00287,-348.0,-174.0,-15.9,-36.8,40.04951675,-176.0,41.0
-0.00287,-348.0,-174.0,-17.2,-37.9,41.58293063,-177.0,41.0
-0.00286,-349.0,-175.0,-18.5,-38.9,43.13123468,-177.0,41.0
-0.00286,-350.0,-175.0,-19.9,-40.0,44.69304759,-178.0,41.0
-0.00285,-350.0,-175.0,-21.2,-41.1,46.26716644,-178.0,41.0
-0.00285,-351.0,-176.0,-22.5,-42.2,47.8525427,-179.0,41.0
-0.00284,-352.0,-176.0,-23.9,-43.3,49.44825629,-179.0,41.0
-0.00284,-353.0,-176.0,-25.2,-44.4,51.05350101,-180.0,41.0
-0.00283,-353.0,-177.0,-26.5,-45.5,52.66755305,-181.0,41.0
-0.00282,-354.0,-177.0,-27.9,-46.6,54.28981846,-181.0,41.0
-0.00282,-355.0,-178.0,-29.2,-47.7,55.91969712,-182.0,41.0
-0.00286,-350.0,-175.0,-19.9,-40.0,44.69304759,-178.0,41.0
-0.00285,-350.0,-175.0,-21.2,-41.1,46.26716644,-178.0,41.0
-0.00285,-351.0,-176.0,-22.5,-42.2,47.8525427,-179.0,41.0
-0.00284,-352.0,-176.0,-23.9,-43.3,49.44825629,-179.0,41.0
-0.00284,-353.0,-176.0,-25.2,-44.4,51.05350101,-180.0,41.0
-0.00283,-353.0,-177.0,-26.5,-45.5,52.66755305,-181.0,41.0
-0.00282,-354.0,-177.0,-27.9,-46.6,54.28981846,-181.0,41.0
-0.00282,-355.0,-178.0,-29.2,-47.7,55.91969712,-182.0,41.0
